date,day_of_week,hour_slot,lag_2wk_avg,lag_4wk_avg,lag_8wk_avg,lag_12wk_avg,lag_8wk_severity,lag_8wk_high_acuity,daily_cumulative_avg,lag_8wk_avg_age,lag_8wk_avg_PainGrade,lag_8wk_avg_NeedFastExecute,lag_8wk_avg_CriticalStatus,lag_8wk_Medical/Internal,lag_8wk_Trauma/Injury,patient_count
2017-03-28,2,0,8.0,8.0,8.0,8.0,3.25,0.25,8.0,52.875,0.125,2.0,0.25,4.0,2.0,7
2017-03-28,2,1,11.0,11.0,11.0,11.0,3.272727272727273,0.09090909090909091,7.0,41.36363636363637,2.1818181818181817,2.0,0.6363636363636364,3.0,6.0,8
2017-03-28,2,2,16.0,16.0,16.0,16.0,2.4375,0.625,7.5,68.0625,4.0,2.0,1.375,9.0,4.0,10
2017-03-28,2,3,21.0,21.0,21.0,21.0,2.4285714285714284,0.5714285714285714,8.333333333333334,44.76190476190476,3.8095238095238093,2.0,1.4285714285714286,10.0,9.0,18
2017-03-28,2,4,26.0,26.0,26.0,26.0,2.6923076923076925,0.34615384615384615,10.75,46.57692307692308,3.1666666666666665,1.9230769230769231,1.4166666666666667,14.0,11.0,17
2017-03-28,2,5,21.0,21.0,21.0,21.0,2.5238095238095237,0.5238095238095238,12.0,48.714285714285715,0.3333333333333333,2.0,0.42857142857142855,9.0,9.0,22
2017-03-29,3,0,10.0,10.0,10.0,10.0,3.0,0.3,10.0,37.2,0.6,2.0,0.3,7.0,3.0,18
2017-03-29,3,1,8.0,8.0,8.0,8.0,2.375,0.625,18.0,39.75,4.0,1.875,1.1428571428571428,7.0,1.0,8
2017-03-29,3,2,20.0,20.0,20.0,20.0,2.3,0.7,13.0,40.2,4.55,2.0,1.3,14.0,5.0,9
2017-03-29,3,3,18.0,18.0,18.0,18.0,2.5555555555555554,0.5,11.666666666666666,56.611111111111114,4.117647058823529,1.9444444444444444,1.5294117647058822,16.0,1.0,21
2017-03-29,3,4,26.0,26.0,26.0,26.0,2.423076923076923,0.6538461538461539,14.0,44.96153846153846,3.5416666666666665,1.9230769230769231,1.125,9.0,17.0,26
2017-03-29,3,5,25.0,25.0,25.0,25.0,2.76,0.4,16.4,44.12,0.04,2.0,0.24,12.0,8.0,22
2017-03-30,4,0,15.0,15.0,15.0,15.0,2.533333333333333,0.5333333333333333,15.0,46.93333333333333,0.0,1.9333333333333333,0.2857142857142857,9.0,5.0,20
2017-03-30,4,1,8.0,8.0,8.0,8.0,2.625,0.625,20.0,59.0,0.75,2.0,0.875,6.0,2.0,9
2017-03-30,4,2,15.0,15.0,15.0,15.0,2.6,0.5333333333333333,14.5,59.266666666666666,3.6666666666666665,2.0,1.4666666666666666,10.0,2.0,18
2017-03-30,4,3,14.0,14.0,14.0,14.0,2.2857142857142856,0.7857142857142857,15.666666666666666,39.785714285714285,3.857142857142857,2.0,1.2142857142857142,7.0,6.0,28
2017-03-30,4,4,29.0,29.0,29.0,29.0,2.6551724137931036,0.4482758620689655,18.75,45.86206896551724,2.3214285714285716,1.9655172413793103,1.0357142857142858,20.0,8.0,20
